Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egzaminas
Antanas        Kazlauskas     9    10   3    7    9    1    5    4    4    8    1         
Jonas          Zukauskas      1    7    1    6    5    10   2    1    2    8    4         
Marius         Kavolis        4    10   3    5    5    10   2    2    10   3    6         
Petras         Kavaliauskas   5    4    7    4    2    9    6    2    5    5    6         
Jonas          Stankevicius   2    2    10   4    2    4    4    2    7    4    1         
Tomas          Kazlauskas     8    10   1    8    3    7    10   6    1    9    6         
Petras         Kazlauskas     7    8    7    9    5    6    8    3    10   3    2         
Marius         Petraitis      10   10   8    5    1    4    2    8    5    6    1         
Darius         Zukauskas      5    2    7    4    10   4    5    4    10   6    10        
Mantas         Petraitis      2    7    7    7    6    10   5    2    5    10   8         
Jonas          Zukauskas      10   3    6    4    5    4    9    4    10   1    7         
Antanas        Brazinskas     1    5    4    6    2    6    10   1    8    10   10        
Petras         Zukauskas      7    8    1    3    9    2    6    6    10   7    6         
Marius         Stankevicius   8    1    7    2    9    5    3    6    3    8    3         
Paulius        Jonaitis       4    8    8    7    10   2    6    4    6    4    9         
Marius         Zukauskas      8    4    9    4    10   6    1    7    4    5    3         
Jonas          Zukauskas      5    7    1    7    5    1    4    1    3    7    6         
Darius         Stankevicius   6    8    10   1    8    1    8    7    1    10   5         
Petras         Kavolis        2    4    2    9    4    8    1    5    5    8    3         
Marius         Petraitis      2    1    8    8    5    9    7    6    2    1    2         
Lukas          Kazlauskas     10   1    4    7    10   3    3    9    10   6    1         
Lukas          Brazinskas     10   1    9    7    3    4    7    6    4    7    10        
Jonas          Brazinskas     10   6    2    9    8    9    1    9    9    9    6         
Jonas          Kavaliauskas   6    10   2    10   6    9    9    6    3    1    1         
Antanas        Kavaliauskas   4    8    6    8    2    2    7    5    6    8    5         
Petras         Kavolis        9    10   5    1    7    8    1    10   8    2    7         
Mantas         Petraitis      4    7    3    10   6    1    10   9    10   5    4         
Antanas        Kavolis        7    1    8    10   4    5    3    7    4    10   6         
Jonas          Jonaitis       10   1    8    6    7    8    8    6    5    10   3         
Marius         Kavolis        7    7    8    1    8    7    8    7    2    8    3         
Mantas         Stankevicius   4    8    5    7    10   4    8    5    8    9    9         
Kazys          Brazinskas     8    4    2    3    2    9    3    10   3    3    6         
Darius         Kavolis        9    7    6    2    10   6    2    9    10   6    2         
Lukas          Jonaitis       3    7    10   9    2    7    2    5    5    3    1         
Kazys          Jonaitis       1    2    8    2    2    9    6    8    10   3    8         
Tomas          Stankevicius   5    10   6    2    6    3    7    10   7    3    2         
Mantas         Kazlauskas     10   5    1    7    7    9    8    5    8    1    8         
Lukas          Jonaitis       4    9    3    8    10   9    10   1    9    10   6         
Kazys          Kazlauskas     9    8    3    5    2    5    9    10   10   7    2         
Lukas          Zukauskas      10   3    8    1    6    7    2    4    4    6    10        
Darius         Jankauskas     5    2    5    7    5    4    7    4    5    10   4         
Marius         Brazinskas     7    3    3    1    1    5    6    2    10   1    3         
Lukas          Kavolis        4    5    3    2    1    8    10   5    7    2    2         
Paulius        Jankauskas     3    3    10   5    5    8    8    8    2    9    4         
Petras         Jonaitis       10   9    10   10   7    7    1    6    2    6    8         
Tomas          Jankauskas     1    1    7    2    1    7    2    6    6    10   3         
Lukas          Kazlauskas     4    8    2    4    10   2    5    8    4    6    1         
Antanas        Jonaitis       9    6    9    6    10   7    7    6    5    9    8         
Kazys          Kavolis        5    10   6    1    5    8    5    3    7    6    2         
Petras         Petraitis      7    7    2    3    6    1    5    7    2    6    6         
Petras         Brazinskas     8    6    1    2    6    7    2    9    6    6    5         
Jonas          Zukauskas      5    4    9    1    5    3    1    3    10   4    9         
Tomas          Zukauskas      9    10   8    6    2    1    4    8    3    8    6         
Paulius        Brazinskas     9    10   6    6    8    8    10   1    3    5    3         
Antanas        Stankevicius   2    4    3    5    5    7    8    1    1    8    1         
Paulius        Brazinskas     3    7    1    7    5    3    9    6    4    4    6         
Antanas        Kavolis        9    2    1    10   3    1    10   1    10   6    10        
Darius         Brazinskas     4    6    10   6    10   7    3    4    3    3    10        
Petras         Petraitis      4    9    1    8    4    5    8    8    2    10   10        
Mantas         Jonaitis       4    3    8    7    8    7    10   9    7    7    6         
Jonas          Kavolis        2    9    7    6    4    4    6    3    4    8    9         
Paulius        Stankevicius   3    4    6    10   8    4    3    3    10   8    3         
Mantas         Brazinskas     10   5    10   1    10   2    1    10   7    5    6         
Antanas        Petraitis      8    7    9    7    3    4    10   6    7    1    3         
Paulius        Brazinskas     2    8    5    9    1    3    10   3    2    6    4         
Paulius        Jankauskas     5    4    6    8    4    8    2    6    9    9    1         
Marius         Jankauskas     7    3    2    4    8    10   8    7    6    6    4         
Jonas          Jonaitis       5    2    6    8    6    1    5    3    3    4    8         
Kazys          Kazlauskas     5    6    9    9    6    1    1    7    3    6    10        
Tomas          Kavaliauskas   10   9    8    4    9    1    10   10   8    1    10        
Darius         Petraitis      8    8    9    5    6    8    3    3    6    9    9         
Darius         Jonaitis       1    5    3    7    1    8    2    8    6    3    1         
Darius         Kavolis        2    1    9    2    10   2    8    7    5    6    10        
Tomas          Zukauskas      5    3    7    8    2    5    3    6    8    1    1         
Kazys          Petraitis      3    4    2    8    1    10   2    6    10   10   5         
Paulius        Kavolis        6    7    9    8    9    1    2    10   10   5    4         
Lukas          Petraitis      6    2    4    8    9    3    9    2    3    6    8         
Tomas          Zukauskas      9    7    6    9    2    8    5    3    5    8    4         
Mantas         Kavolis        8    1    10   1    3    9    8    4    6    4    9         
Petras         Kavaliauskas   1    6    4    8    7    10   3    1    10   9    9         
Antanas        Stankevicius   1    9    1    3    7    4    2    6    4    1    1         
Marius         Kazlauskas     5    8    8    6    7    4    5    9    3    4    7         
Tomas          Kavaliauskas   1    6    2    6    10   4    2    10   10   2    6         
Darius         Kavaliauskas   8    5    2    5    10   7    5    10   2    7    3         
Tomas          Kavaliauskas   7    2    9    9    8    8    3    7    4    1    5         
Mantas         Kavolis        1    6    9    6    7    9    7    3    5    5    8         
Antanas        Petraitis      10   4    9    9    1    2    9    2    9    1    4         
Jonas          Kavolis        9    1    4    8    1    9    1    1    2    3    8         
Jonas          Kavolis        2    6    8    7    6    3    1    4    5    2    4         
Kazys          Zukauskas      9    4    3    2    5    3    1    3    7    10   8         
Paulius        Zukauskas      1    1    6    6    1    8    3    10   10   9    3         
Mantas         Stankevicius   4    10   7    2    4    9    10   6    5    10   3         
Jonas          Jankauskas     4    10   10   8    10   3    5    3    10   4    6         
